model,manufacturer,segment,battery,consumption,ac_power,dc_power,cos_phi
e-tron 55 quattro,Audi,SUV,86.5,23.7,11,155,1
iX xDrive50,BMW,upper_medium_class_car,105.2,20.8,11,200,1
i4 eDrive40,BMW,medium_class_car,80.7,17,11,200,1
i3 120Ah,BMW,small_car,37.9,16.1,11,49,1
e-SpaceTourer M 75 kWh,Citroen,large_van,68,25.2,7.4,100,1
IONIQ 5 Project 45,Hyundai,compact_class_car,72.6,19.6,11,232,1
e-Soul 36 kWh,Kia,mini_van,39.2,17,7.2,50,1
EQS 450+,Mercedes,luxury_car,107.8,16.8,11,200,1
e-NV200 Evalia,Nissan,utility_car,36,21.8,6.6,46,1
Twingo Electric,Renault ,mini_car,21.3,16.4,22,0,1
Roadster,Tesla,sports_car,200,20.6,22,250,1
